key.ref_cf[10600],transition,username,update.worklog,update.comment,field.assignee.name,worklog.startdate
84-2014,CLOSED,sergio.correia.ms,,Demanda validada.,,11/6/2014
85-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,11/14/2014
85-2014,RESOLVED,Desenvolvedor/Tester SOA,16,Atividade concluída.,,11/17/2014
85-2014,LANCAR_HORAS,alexandre.junio,2,Demanda disponível para homologação.,,11/17/2014
85-2014,CLOSED,sergio.correia.ms,,Verificado.,,11/17/2014
86-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,11/12/2014
86-2014,RESOLVED,Desenvolvedor/Tester SOA,16,Atividade finalizada.,,11/13/2014
86-2014,LANCAR_HORAS,alexandre.junio,2,Demanda disponível para homologação.,,11/13/2014
86-2014,CLOSED,julioc.araujo.ms,,Homologação ok.,,11/13/2014
87-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,11/18/2014
87-2014,RESOLVED,Desenvolvedor/Tester SOA,16,Demanda concluída.,,11/19/2014
87-2014,LANCAR_HORAS,alexandre.junio,2,Demanda disponível para homologação.,,11/19/2014
87-2014,CLOSED,sergio.correia.ms,,Demanda verificada.,,11/19/2014
88-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,11/14/2014
88-2014,RESOLVED,Desenvolvedor/Tester SOA,16,Atividade concluída.,,11/17/2014
88-2014,LANCAR_HORAS,alexandre.junio,2,Demanda disponível para homologação.,,11/17/2014
88-2014,CLOSED,julioc.araujo.ms,,Demanda verificada.,,11/17/2014
89-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,11/20/2014
89-2014,RESOLVED,Desenvolvedor/Tester SOA,32,Atividade finalizada.,,11/25/2014
89-2014,LANCAR_HORAS,alexandre.junio,4,Demanda disponível para homologação.,,11/25/2014
89-2014,CLOSED,julioc.araujo.ms,,Tudo certo.,,11/25/2014
90-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,11/18/2014
90-2014,RESOLVED,Desenvolvedor/Tester SOA,32,Demanda concluída.,,11/21/2014
90-2014,LANCAR_HORAS,alexandre.junio,4,Demanda disponível para homologação.,,11/21/2014
90-2014,CLOSED,julioc.araujo.ms,,Demanda validada.,,11/21/2014
91-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,11/26/2014
91-2014,RESOLVED,Desenvolvedor/Tester SOA,16,Atividade concluída.,,11/27/2014
